created_at,entry_id,Temperature(C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-19 00:00:22 CET,1738,24.9375,81,7.945,8.5199,10.68908,688,75,6.94,3.07
2021-06-19 00:00:42 CET,1739,25,81,6.888,8.5199,11.2103,672,75,6.94,3.07
2021-06-19 00:01:02 CET,1740,25,81,33.728,8.51536,11.2103,671,75,6.94,3.07
2021-06-19 00:01:23 CET,1741,24.9375,81,10.531,8.52444,10.68908,668,75,6.94,3.07
2021-06-19 00:02:48 CET,1745,24.9375,81,11.74,8.52444,11.2103,683,75,6.94,3.07
2021-06-19 00:03:08 CET,1746,24.9375,81,7.082,8.55167,11.5728,675,75,6.94,3.07
2021-06-19 00:03:27 CET,1747,24.9375,81,38.812,8.51082,11.5268,682,75,6.94,3.07
2021-06-19 00:03:47 CET,1748,24.9375,81,12.095,8.51536,11.39001,666,75,6.94,3.07
2021-06-19 00:04:44 CET,1749,25,81,36.476,8.5199,11.71194,677,75,6.94,3.07
2021-06-19 00:05:34 CET,1751,24.9375,81,8.934,8.51082,11.85289,663,75,6.94,3.07
2021-06-19 00:07:15 CET,1753,24.9375,81,38.745,8.51082,11.75873,667,75,6.94,3.07
2021-06-19 00:07:34 CET,1754,24.9375,81,7.869,8.50174,10.68908,656,75,6.94,3.07
2021-06-19 00:08:14 CET,1756,25,81,9.98,8.5199,12.43505,674,75,6.94,3.07
2021-06-19 00:08:33 CET,1757,24.9375,81,7.395,8.5199,12.23766,676,75,6.94,3.07
2021-06-19 00:09:13 CET,1759,24.9375,81,7.48,8.51082,11.99564,672,75,6.94,3.07
2021-06-19 00:09:32 CET,1760,24.9375,81,6.88,8.50628,12.09183,675,75,6.94,3.07
2021-06-19 00:09:52 CET,1761,25,81,7.505,8.51536,12.63584,674,75,6.94,3.07
2021-06-19 00:10:11 CET,1762,25,81,36.788,8.5199,12.38539,673,75,6.94,3.07
2021-06-19 00:10:31 CET,1763,24.9375,81,11.216,8.5199,12.63584,667,75,6.94,3.07
2021-06-19 00:10:50 CET,1764,24.9375,81,10.658,8.5199,12.28669,657,75,6.94,3.07
2021-06-19 00:11:10 CET,1765,25,81,13.688,8.5199,12.48492,657,75,6.94,3.07
2021-06-19 00:11:29 CET,1766,24.9375,81,11.055,8.51082,12.63584,672,75,6.94,3.07
2021-06-19 00:12:09 CET,1768,24.9375,81,11.233,8.5199,13.04793,656,75,6.94,3.07
2021-06-19 00:12:29 CET,1769,25,81,9.539,8.52444,12.99564,666,75,6.94,3.07
2021-06-19 00:12:48 CET,1770,24.9375,81,11.419,8.51082,13.31278,660,75,6.94,3.07
2021-06-19 00:13:08 CET,1771,24.9375,81,38.778,8.51082,12.99564,653,75,6.94,3.07
2021-06-19 00:14:26 CET,1775,24.9375,81,27.681,8.50628,12.99564,673,75,6.94,3.07
